name,brand,category,price,mrp,discount_pct,rating,reviews,in_stock,delivery_info,seller_count,source,scrape_day,timestamp
"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,12999.0,16999.0,24.0,3.5,224.0,1,"FREE delivery Mon, 18 May",,amazon,2026-05-14,2026-05-14T22:23:02.245956
"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger",Samsung,smartphones,12499.0,16999.0,26.0,3.8,150.0,1,FREE delivery 16 - 19 May,,amazon,2026-05-14,2026-05-14T22:23:02.370020
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",realme,smartphones,20999.0,25999.0,19.0,4.3,2594.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:02.548036
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,smartphones,11499.0,13999.0,18.0,4.0,2773.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:02.747017
"POCO C71, Desert Gold (4GB, 64GB)",POCO,smartphones,8999.0,8999.0,,4.0,2839.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:02.942018
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,16330.0,17999.0,9.0,4.3,385.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:03.094022
"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",Samsung,smartphones,13998.0,16499.0,15.0,4.1,2408.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:03.244018
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Samsung,smartphones,9499.0,10999.0,14.0,4.2,1349.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:03.402017
"OnePlus Nord CE6 Lite | 6GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",OnePlus,smartphones,20999.0,31999.0,34.0,,,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:03.546022
"iQOO Z10 Lite 5G (Cyber Green, 8GB RAM, 256GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",iQOO,smartphones,,,,4.2,6947.0,0,,,amazon,2026-05-14,2026-05-14T22:23:03.688036
"REDMI Note 15 5G (Black, 8GB RAM 128GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | 5520mAh Battery | 45W Fast Charging",REDMI,smartphones,24999.0,26999.0,7.0,4.2,680.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:03.877698
"REDMI Note 15 Pro+ 5G (Coffee Mocha, 12GB + 256GB) | 200MasterPixel OIS Camera | Snapdragon 7s Gen 4 | CrystalRes AMOLED | IP69/69K | 6500mAh Si/C Battery | 100W HyperCharge",REDMI,smartphones,41998.0,41998.0,,4.2,224.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:04.068563
"realme NARZO 90x 5G (Flash Blue,8GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in the Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",realme,smartphones,17999.0,17999.0,,4.2,1130.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:04.220716
"POP X (Flare White, 4GB+64GB) | 120Hz 6.74"" Smooth Display| IP64 Protection & Drop Resistant | No Network Communication* | AI Active Noise Cancellation | AI Song Identification |AI Flash Snap| 5000mAh",POP,smartphones,9499.0,15999.0,41.0,4.2,46.0,1,"FREE delivery Tue, 19 May",,amazon,2026-05-14,2026-05-14T22:23:04.377709
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",vivo,smartphones,21939.0,28999.0,24.0,4.1,83.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:04.532603
"Samsung Galaxy M36 5G Mobile (Velvet Black, 6GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera| Nightography| Lag-free Gaming | Without Charger",Samsung,smartphones,16999.0,25499.0,33.0,4.1,908.0,1,FREE delivery 16 May - 6 Jun,,amazon,2026-05-14,2026-05-14T22:23:04.714590
"iQOO Z10 5G (Stellar Black, 8GB RAM, 128GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s Gen 3 Processor | Brightest Quad Curved AMOLED Display in the Segment",iQOO,smartphones,24998.0,25999.0,4.0,4.4,5255.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:04.894694
"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",iQOO,smartphones,26998.0,26998.0,,4.4,4222.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:05.046587
"Vivo T4x 5G (Marine Blue, 128 GB) (8 GB RAM)",Vivo,smartphones,19448.0,19448.0,,4.4,3312.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:05.188588
"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,256GB Storage)| Segment Slimmest | Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-free Gaming| Without Charger",Samsung,smartphones,,,,4.3,1588.0,0,,,amazon,2026-05-14,2026-05-14T22:23:05.322688
OnePlus 15R | 12GB+256GB | Charcoal Black | World's First Snapdragon® 8 Gen 5 | 7400mAh Battery | Personalised AI | Game-Changing 165Hz Display | IP68 IP69 IP66 & IP69K | 4K 120fps Video,OnePlus,smartphones,52990.0,54999.0,4.0,4.5,1381.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:05.484585
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",Lava,smartphones,8399.0,9499.0,12.0,3.5,98.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:05.677595
"REDMI A7 Pro 5G (Mist Blue, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,12999.0,16999.0,24.0,3.5,224.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:12.368974
"Samsung Galaxy M36 5G Mobile (Serene Green, 6GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera| Nightography| Lag-free Gaming | Without Charger",Samsung,smartphones,16999.0,25499.0,33.0,4.1,908.0,1,FREE delivery 16 May - 2 Jun,,amazon,2026-05-14,2026-05-14T22:23:12.554872
"realme NARZO 90 5G (Carbon Black,8GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust & Water Resistance",realme,smartphones,18998.0,19999.0,5.0,4.2,786.0,1,FREE delivery 16 - 17 May,,amazon,2026-05-14,2026-05-14T22:23:12.748970
"REDMI A7 Pro 5G (Mist Blue, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",REDMI,smartphones,11999.0,15999.0,25.0,3.5,224.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:12.914131
"Motorola G67 Power 5G (Pantone Cilantro, 8GB RAM, 128GB Storage) | 6.7"" FHD+ 120Hz LCD Display | Snapdragon 7s Gen2 Processor | 50MP + 8MP UW Camera | 7000mAh Battery with 30W Charger | IP64",Motorola,smartphones,16999.0,18999.0,11.0,4.2,508.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:13.230137
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",SAMSUNG,smartphones,9525.0,10999.0,13.0,3.6,87.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:13.388438
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Silverblue, 12GB RAM, 512GB Storage), 200MP Camera, S Pen Included, Long Battery Life",Samsung,smartphones,119999.0,141999.0,15.0,4.4,1123.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:13.538315
"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)",Samsung,smartphones,11700.0,13999.0,16.0,4.1,753.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:13.655582
"REDMI Note 15 5G (Black, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | Segment's Slimmest Phone | 5520mAh Battery | 45W Fast Charging",REDMI,smartphones,27999.0,28999.0,3.0,4.2,680.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:13.906091
"Motorola G57 Power (Fluidity, 8GB RAM, 128GB Storage) | Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Motorola,smartphones,15999.0,17999.0,11.0,,,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:14.018789
"Samsung Galaxy A55 5G (Awesome Navy, 12GB RAM, 256GB Storage) | AI Mobile | 50MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Gorilla Glass Victus+ | sAMOLED | Gaming Smartphone",Samsung,smartphones,48450.0,89999.0,46.0,4.3,6737.0,1,"FREE delivery Sun, 17 May",,amazon,2026-05-14,2026-05-14T22:23:14.164557
"iQOO Z11x 5G (Prismatic Green, 8GB RAM, 256 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery | 4K Video Recording Front & Back | IP68 & IP69+ | Powered by OriginOS 6",iQOO,smartphones,26998.0,33999.0,21.0,4.2,527.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:14.248201
"Nothing Phone (3a) Lite (White, 128 GB) (8 GB RAM)",Nothing,smartphones,22999.0,22999.0,,4.3,99.0,1,"FREE delivery Sun, 17 May",,amazon,2026-05-14,2026-05-14T22:23:14.529441
"OPPO K14x 5G Smartphone, Prism Violet, 4GB RAM, 64GB Storage, 6500mAh Battery, 45W Fast Charge",OPPO,smartphones,14749.0,19999.0,26.0,4.7,9.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:14.606635
"iQOO 15R (Triumph Silver, 12GB RAM, 512GB Storage) | Snapdragon® 8 Gen 5 Processor | India’s Slimmest Smartphone in 7600mAh Battery* | Segment's Most Stable 144FPS Gaming*",iQOO,smartphones,55998.0,61999.0,10.0,4.4,675.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:14.763883
REDMI 15 5G Frosted White 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,REDMI,smartphones,22499.0,36999.0,39.0,4.1,1901.0,1,"FREE delivery Sat, 16 May",,amazon,2026-05-14,2026-05-14T22:23:14.899867
"REDMI Note 15 Pro 5G (Mirage Blue, 8GB+256GB) | 200MasterPixel OIS Camera | Dimensity 7400-Ultra | 17.3cm CrystalRes AMOLED Screen | IP66/68/69/69K | Mega 6580mAh Si/C Battery | 45W Fast Charging",REDMI,smartphones,33999.0,34999.0,3.0,4.0,245.0,1,"FREE delivery Sun, 17 May",,amazon,2026-05-14,2026-05-14T22:23:15.142986
